id,name,web_name,team,position,cost,total_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_per_game,cost_efficiency,form_per_cost,position_encoded
43,Kaine Kesler-Hayden,Kesler-Hayden,Aston Villa,Defender,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1686,0,0,0.0,0.0,0.0,2.0
44,Ezri Konsa Ngoyo,Konsa,Aston Villa,Defender,4.5,103,8.0,3.0,2936,2,0,8,45,0,0,0,1,0,0,10,448,532.8,123.9,166.0,82.4,9.5,1.8,22.9,1756553,1967466,0,0,77.26315789473684,22.88888888888889,1.7777777777777777,2.0
45,Ian Maatsen,Maatsen,Aston Villa,Defender,4.5,57,3.5,2.0,1125,1,2,3,16,0,0,0,2,0,0,0,204,252.0,293.4,197.0,74.3,1.6,0.8,12.7,161062,362749,0,0,29.605263157894736,12.666666666666666,0.7777777777777778,2.0
46,Filip Marschall,Marschall,Aston Villa,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,0,0,0.0,0.0,0.0,1.0
47,Emiliano Martínez Romero,Martinez,Aston Villa,Goalkeeper,5.0,111,2.0,3.0,3195,0,0,8,47,0,1,0,5,1,100,6,457,839.6,20.0,0.0,86.0,13.3,0.4,22.2,1948436,1972857,0,0,84.07894736842105,22.2,0.4,1.0
48,John McGinn,McGinn,Aston Villa,Midfielder,5.2,78,3.0,2.3,2217,1,4,8,34,0,0,0,7,0,0,1,360,277.2,500.6,263.0,103.7,0.7,0.6,15.0,117567,274860,0,0,58.3421052631579,15.0,0.5769230769230769,3.0
49,Tyrone Mings,Mings,Aston Villa,Defender,4.4,47,0.0,3.4,1119,0,1,4,11,0,0,0,1,0,0,5,207,220.4,49.2,74.0,34.6,0.2,0.0,10.7,55695,44736,0,0,29.44736842105263,10.681818181818182,0.0,2.0
50,Kosta Nedeljković,Nedeljkovic,Aston Villa,Defender,3.9,5,0.0,1.0,121,0,0,0,4,0,0,0,0,0,0,0,11,22.8,7.2,0.0,3.0,0.5,0.0,1.3,256190,261330,0,0,3.1842105263157894,1.2820512820512822,0.0,2.0
51,Robin Olsen,Olsen,Aston Villa,Goalkeeper,4.5,9,0.5,2.2,225,0,0,1,6,0,0,0,0,0,8,0,23,59.2,0.0,0.0,5.9,0.1,0.1,2.0,15716,19607,0,0,5.921052631578948,2.0,0.1111111111111111,1.0
52,Pau Torres,Pau,Aston Villa,Defender,4.2,55,3.5,2.3,2019,0,0,5,33,0,0,0,2,0,0,3,254,350.6,84.5,102.0,54.0,0.8,0.8,13.1,267629,340115,0,0,53.13157894736842,13.095238095238095,0.8333333333333333,2.0
53,Jacob Ramsey,Ramsey,Aston Villa,Midfielder,5.4,66,0.5,2.3,1616,1,4,5,26,0,0,0,2,1,0,3,265,235.4,307.9,245.0,78.7,0.3,0.1,12.2,112424,123002,0,0,42.526315789473685,12.222222222222221,0.09259259259259259,3.0
54,Morgan Rogers,Rogers,Aston Villa,Midfielder,5.8,161,3.5,4.4,3115,8,11,10,40,0,0,0,10,0,0,15,534,731.6,722.7,689.0,214.3,25.8,0.6,27.8,7532072,5583080,0,0,81.97368421052632,27.758620689655174,0.603448275862069,3.0
55,Viljami Sinisalo,Sinisalo,Aston Villa,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95,0,0,0.0,0.0,0.0,1.0
56,Lino da Cruz Sousa,Sousa,Aston Villa,Defender,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19298,0,0,0.0,0.0,0.0,2.0
57,Youri Tielemans,Tielemans,Aston Villa,Midfielder,5.5,121,0.5,3.4,3025,3,7,7,46,0,0,1,4,0,0,15,686,799.6,963.1,333.0,209.6,1.1,0.1,22.0,396166,395518,0,0,79.60526315789474,22.0,0.09090909090909091,3.0
58,Ollie Watkins,Watkins,Aston Villa,Forward,9.2,186,3.5,4.9,2593,16,8,10,40,0,0,0,2,0,0,32,631,766.0,345.2,1148.0,223.8,29.0,0.4,20.2,6498525,6903884,0,0,68.23684210526316,20.217391304347828,0.3804347826086957,4.0
167,Axel Disasi,Disasi,Aston Villa,Defender,4.2,33,0.0,2.5,851,1,0,3,12,0,0,0,3,0,0,0,133,169.6,75.6,51.0,29.7,0.4,0.0,7.9,122107,135167,0,0,22.394736842105264,7.857142857142857,0.0,2.0
233,Amadou Onana,Onana,Aston Villa,Midfielder,4.8,65,3.0,2.5,1613,3,0,6,23,0,0,0,4,0,0,5,324,358.0,194.8,215.0,77.0,2.1,0.6,13.5,1449424,1485790,0,0,42.44736842105263,13.541666666666668,0.625,3.0
385,Marcus Rashford,Rashford,Aston Villa,Midfielder,6.6,95,0.0,3.8,1414,6,4,7,15,0,0,0,2,0,0,9,333,398.4,451.1,369.0,122.1,3.7,0.0,14.4,1845004,1964955,0,0,37.21052631578947,14.393939393939394,0.0,3.0
598,Lamare Bogarde,Bogarde,Aston Villa,Defender,3.9,6,0.0,0.8,473,0,0,0,11,0,0,0,2,0,0,0,22,84.8,33.3,15.0,13.3,0.2,0.0,1.5,65189,59800,0,0,12.447368421052632,1.5384615384615385,0.0,2.0
640,Sil Swinkels,Swinkels,Aston Villa,Defender,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,8500,8378,0,0,0.0,0.0,0.0,2.0
641,Oliwier Zych,Zych,Aston Villa,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,84557,55584,0,0,0.0,0.0,0.0,1.0
656,Kadan Young,Young,Aston Villa,Midfielder,4.4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,59513,52012,0,0,0.0,0.0,0.0,3.0
679,Ben Broggio,Broggio,Aston Villa,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2542,1889,0,0,0.0,0.0,0.0,3.0
710,Jamaldeen Jimoh,Jimoh,Aston Villa,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695,453,0,0,0.0,0.0,0.0,3.0
725,Donyell Malen,Malen,Aston Villa,Midfielder,5.3,34,1.0,2.4,296,3,0,0,6,0,0,0,0,0,0,3,112,138.2,42.7,208.0,38.5,0.2,0.2,6.4,86563,68829,0,0,7.7894736842105265,6.415094339622642,0.18867924528301888,3.0
731,Andrés García,A. Garcia,Aston Villa,Defender,4.5,8,0.0,1.1,316,0,0,0,5,0,0,0,0,0,0,0,26,45.6,68.4,7.0,12.0,0.1,0.0,1.8,15448,11668,0,0,8.31578947368421,1.7777777777777777,0.0,2.0
737,Unai Emery,Emery,Aston Villa,Manager,0.8,105,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.7,6.2,131.2,265500,224959,0,0,0.0,131.25,6.25,
762,Marco Asensio,M.Asensio,Aston Villa,Midfielder,6.0,44,2.0,3.4,740,3,2,3,8,0,0,2,2,0,0,6,158,200.6,232.5,242.0,67.2,2.4,0.3,7.3,839677,571943,0,0,19.473684210526315,7.333333333333333,0.3333333333333333,3.0
59,Max Aarons,Aarons,Bournemouth,Defender,4.3,8,0.0,2.7,84,0,0,1,0,0,0,0,0,0,0,0,31,13.2,3.2,0.0,1.7,0.1,0.0,1.9,12506,29224,0,0,2.210526315789474,1.8604651162790697,0.0,2.0
60,Tyler Adams,Adams,Bournemouth,Midfielder,4.9,58,2.5,2.1,1959,0,3,6,30,0,0,0,7,0,0,1,315,411.8,261.2,83.0,75.9,0.1,0.5,11.8,16849,12793,0,0,51.55263157894737,11.83673469387755,0.5102040816326531,3.0
61,Jaidon Anthony,Anthony,Bournemouth,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,8381,46624,0,0,0.0,0.0,0.0,3.0
62,David Brooks,Brooks,Bournemouth,Midfielder,4.9,52,2.0,1.8,941,2,1,3,12,0,0,0,3,0,0,2,204,193.6,316.7,300.0,80.4,0.0,0.4,10.6,9328,8345,0,0,24.763157894736842,10.612244897959183,0.4081632653061224,3.0
63,Ryan Christie,Christie,Bournemouth,Midfielder,4.8,76,0.0,2.6,2114,2,3,8,28,0,0,0,9,0,0,5,435,514.0,576.8,303.0,139.6,0.1,0.0,15.8,50838,63311,0,0,55.63157894736842,15.833333333333334,0.0,3.0
64,Lewis Cook,Cook,Bournemouth,Midfielder,5.0,82,-0.5,2.3,2976,1,4,5,44,0,0,0,8,1,0,3,500,607.0,727.1,114.0,144.9,0.1,-0.1,16.4,60667,60285,0,0,78.3157894736842,16.4,-0.1,3.0
65,Enes Ünal,Enes Ünal,Bournemouth,Forward,5.4,32,0.0,1.9,330,2,1,2,3,0,0,0,2,0,0,4,97,104.0,56.1,207.0,35.9,0.1,0.0,5.9,47246,47831,0,0,8.68421052631579,5.925925925925926,0.0,4.0
66,Romain Faivre,Faivre,Bournemouth,Midfielder,5.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1460,0,0,0.0,0.0,0.0,3.0
67,Hamed Traorè,H.Traorè,Bournemouth,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3525,19418,0,0,0.0,0.0,0.0,3.0
68,James Hill,Hill,Bournemouth,Defender,3.9,17,0.0,1.7,443,0,1,1,9,0,0,0,1,0,0,0,55,97.0,38.4,29.0,16.6,0.5,0.0,4.4,112677,110218,0,0,11.657894736842104,4.3589743589743595,0.0,2.0
69,Daniel Jebbison,Jebbison,Bournemouth,Forward,4.5,20,3.5,1.2,105,1,0,0,2,0,0,0,1,0,0,1,67,58.2,39.1,70.0,16.6,1.1,0.8,4.4,485696,572087,0,0,2.763157894736842,4.444444444444445,0.7777777777777778,4.0
70,Milos Kerkez,Kerkez,Bournemouth,Defender,5.3,134,3.5,3.5,3336,2,6,9,45,0,0,0,4,0,0,10,550,694.0,642.0,238.0,157.3,20.0,0.7,25.3,3604031,1437233,0,0,87.78947368421052,25.28301886792453,0.6603773584905661,2.0
71,Justin Kluivert,Kluivert,Bournemouth,Midfielder,5.9,158,2.0,4.6,2339,12,6,13,29,0,0,0,8,0,0,14,532,700.0,654.1,771.0,212.0,11.0,0.3,26.8,5516740,4388704,0,0,61.55263157894737,26.779661016949152,0.3389830508474576,3.0
72,Chris Mepham,Mepham,Bournemouth,Defender,4.4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287,6330,0,0,0.0,0.0,0.0,2.0
74,Dango Ouattara,O.Dango,Bournemouth,Midfielder,4.5,111,0.0,3.5,1998,7,4,7,23,0,0,0,3,0,0,7,432,624.6,496.8,754.0,187.2,0.9,0.0,24.7,793396,704668,0,0,52.578947368421055,24.666666666666668,0.0,3.0
75,Alex Paulsen,Paulsen,Bournemouth,Goalkeeper,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3161,0,0,0.0,0.0,0.0,1.0
76,Philip Billing,Philip,Bournemouth,Midfielder,4.8,10,0.0,1.0,176,0,0,0,4,0,0,0,1,0,0,0,52,54.0,102.4,47.0,20.4,0.0,0.0,2.1,6119,11274,0,0,4.631578947368421,2.0833333333333335,0.0,3.0
77,Alex Scott,Scott,Bournemouth,Midfielder,4.7,26,0.5,1.3,745,0,0,3,8,0,0,0,3,0,0,0,132,141.6,171.6,118.0,43.2,0.0,0.1,5.5,3384,6964,0,0,19.605263157894736,5.531914893617021,0.10638297872340426,3.0
78,Antoine Semenyo,Semenyo,Bournemouth,Midfielder,5.7,165,9.0,4.5,3202,11,7,11,41,0,0,0,9,0,0,14,571,792.2,688.9,1204.0,267.8,8.0,1.6,28.9,3623976,2938239,0,0,84.26315789473684,28.94736842105263,1.5789473684210527,3.0
79,Marcos Senesi,Senesi,Bournemouth,Defender,4.6,31,3.0,1.8,1103,0,0,2,17,0,0,0,5,0,0,3,114,271.6,84.2,39.0,39.6,0.3,0.7,6.7,77865,150049,0,0,29.026315789473685,6.739130434782609,0.6521739130434783,2.0
